original_item,category,nutrition_info,substitute_item,sub_nutrition_info,flavor_profile,source
Mango Boba Tea,Tea,"sugar_grams=38;caffeine_mg=60",Mango Green Tea w/ Stevia,"sugar_grams=8;caffeine_mg=40","fruity, floral","manual"
Starbucks Caramel Frappuccino,Coffee,"sugar_grams=66;caffeine_mg=90",Iced Coffee w/ Sugar-Free Vanilla & Almond Milk,"sugar_grams=3;caffeine_mg=165","caramel, vanilla, creamy","manual"
Strawberry Milk Tea,Tea,"sugar_grams=45;caffeine_mg=50",Strawberry Herbal Tea w/ Unsweetened Almond Milk,"sugar_grams=2;caffeine_mg=0","sweet, fruity, milky","manual"
Coca-Cola,Soda,"sugar_grams=39;caffeine_mg=34",Sparkling Water w/ Lemon & Stevia,"sugar_grams=0;caffeine_mg=0","citrus, bubbly, refreshing","manual"
Taro Boba Tea,Tea,"sugar_grams=42;caffeine_mg=55",Taro Herbal Tea w/ Unsweetened Coconut Milk,"sugar_grams=4;caffeine_mg=0","nutty, earthy, creamy","manual"
Starbucks Vanilla Latte,Coffee,"sugar_grams=35;caffeine_mg=150",Americano w/ Sugar-Free Vanilla & Oat Milk,"sugar_grams=2;caffeine_mg=225","vanilla, smooth, warm","manual"
Red Bull,Energy Drink,"sugar_grams=27;caffeine_mg=80",Sugar-Free Red Bull,"sugar_grams=0;caffeine_mg=80","citrus, energizing","manual"
Matcha Latte,Tea,"sugar_grams=32;caffeine_mg=70",Unsweetened Matcha w/ Unsweetened Almond Milk,"sugar_grams=1;caffeine_mg=70","earthy, grassy, smooth","manual"
Pepsi,Soda,"sugar_grams=41;caffeine_mg=38",Diet Pepsi or Sparkling Water w/ Lime,"sugar_grams=0;caffeine_mg=0","citrus, cola, bubbly","manual"
Thai Iced Tea,Tea,"sugar_grams=48;caffeine_mg=60",Thai Tea w/ Stevia & Unsweetened Coconut Cream,"sugar_grams=5;caffeine_mg=60","spiced, creamy, aromatic","manual"
Starbucks Mocha Frappuccino,Coffee,"sugar_grams=59;caffeine_mg=90",Cold Brew w/ Sugar-Free Chocolate & Almond Milk,"sugar_grams=3;caffeine_mg=200","chocolate, rich, cold","manual"
Lychee Boba Tea,Tea,"sugar_grams=40;caffeine_mg=55",Lychee Green Tea w/ Stevia,"sugar_grams=6;caffeine_mg=40","floral, sweet, tropical","manual"
Orange Juice,Fruit Drink,"sugar_grams=24;caffeine_mg=0",Sparkling Water w/ Orange Zest & Stevia,"sugar_grams=1;caffeine_mg=0","citrus, fresh, tangy","manual"
Starbucks Pumpkin Spice Latte,Coffee,"sugar_grams=50;caffeine_mg=150",Americano w/ Sugar-Free Pumpkin Spice & Almond Milk,"sugar_grams=2;caffeine_mg=225","spiced, warm, autumnal","manual"
Honeydew Milk Tea,Tea,"sugar_grams=44;caffeine_mg=50",Honeydew Green Tea w/ Stevia & Unsweetened Milk,"sugar_grams=7;caffeine_mg=40","sweet, melon, creamy","manual"
Monster Energy,Energy Drink,"sugar_grams=54;caffeine_mg=160",Sugar-Free Monster or Black Coffee,"sugar_grams=0;caffeine_mg=160","citrus, energizing, bold","manual"
Starbucks White Chocolate Mocha,Coffee,"sugar_grams=43;caffeine_mg=150",Cappuccino w/ Sugar-Free White Chocolate & Oat Milk,"sugar_grams=2;caffeine_mg=150","sweet, creamy, rich","manual"
Jasmine Milk Tea,Tea,"sugar_grams=36;caffeine_mg=50",Jasmine Green Tea w/ Stevia,"sugar_grams=5;caffeine_mg=40","floral, delicate, aromatic","manual"
Strawberry Smoothie,Smoothie,"sugar_grams=52;caffeine_mg=0",Strawberry Protein Smoothie w/ Stevia & Greek Yogurt,"sugar_grams=8;caffeine_mg=0","fruity, creamy, protein-rich","manual"
Starbucks Iced Caramel Macchiato,Coffee,"sugar_grams=33;caffeine_mg=150",Iced Americano w/ Sugar-Free Caramel & Almond Milk,"sugar_grams=2;caffeine_mg=225","caramel, smooth, cold","manual"
Passion Fruit Tea,Tea,"sugar_grams=38;caffeine_mg=55",Passion Fruit Herbal Tea w/ Stevia,"sugar_grams=4;caffeine_mg=0","tropical, tangy, vibrant","manual"
Dr Pepper,Soda,"sugar_grams=40;caffeine_mg=41",Diet Dr Pepper or Sparkling Water w/ Cherry Extract,"sugar_grams=0;caffeine_mg=0","cherry, cola, unique","manual"
Starbucks Chai Tea Latte,Tea,"sugar_grams=42;caffeine_mg=95",Unsweetened Chai Tea w/ Stevia & Oat Milk,"sugar_grams=3;caffeine_mg=95","spiced, warm, aromatic","manual"
